"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"pev_score_2_cat","population_group","not_in_need","not_displaced",0.798695312115784,NA,0.742367168715826,0.855023455515742,"admin2Pcod","SO1303"
"pev_score_2_cat","population_group","in_need","IDP",0.713577113062569,NA,0.590016797689326,0.837137428435811,"admin2Pcod","SO1302"
"pev_score_2_cat","population_group","not_in_need","IDP",0.286422886937431,NA,0.162862571564189,0.409983202310674,"admin2Pcod","SO1302"
"pev_score_2_cat","population_group","in_need","not_displaced",0.231840051522958,NA,0.0562451744361223,0.407434928609794,"admin2Pcod","SO1302"
"pev_score_2_cat","population_group","not_in_need","not_displaced",0.768159948477042,NA,0.592565071390206,0.943754825563877,"admin2Pcod","SO1302"
"pev_score_2_cat","population_group","in_need","IDP",0.75,NA,0.75,0.75,"admin2Pcod","SO1304"
"pev_score_2_cat","population_group","not_in_need","IDP",0.25,NA,0.25,0.25,"admin2Pcod","SO1304"
"pev_score_2_cat","population_group","in_need","not_displaced",0.182539682539683,NA,0.0771441661505319,0.287935198928833,"admin2Pcod","SO1304"
"pev_score_2_cat","population_group","not_in_need","not_displaced",0.817460317460317,NA,0.712064801071167,0.922855833849468,"admin2Pcod","SO1304"
"pev_score_2_cat","population_group","in_need","IDP",0.700765051239269,NA,0.43036528092411,0.971164821554428,"admin2Pcod","SO1401"
"pev_score_2_cat","population_group","not_in_need","IDP",0.299234948760731,NA,0.0288351784455714,0.56963471907589,"admin2Pcod","SO1401"
"pev_score_2_cat","population_group","in_need","not_displaced",0.229834013156152,NA,0.187075963096447,0.272592063215857,"admin2Pcod","SO1401"
"pev_score_2_cat","population_group","not_in_need","not_displaced",0.770165986843848,NA,0.727407936784143,0.812924036903553,"admin2Pcod","SO1401"
"pev_score_2_cat","population_group","in_need","IDP",0.929942854243228,NA,0.855569611933419,1.00431609655304,"admin2Pcod","SO1402"
"pev_score_2_cat","population_group","not_in_need","IDP",0.0700571457567719,NA,-0.00431609655303723,0.144430388066581,"admin2Pcod","SO1402"
"pev_score_2_cat","population_group","in_need","not_displaced",0.167172508574287,NA,0.109010251156967,0.225334765991606,"admin2Pcod","SO1402"
"pev_score_2_cat","population_group","not_in_need","not_displaced",0.832827491425713,NA,0.774665234008394,0.890989748843033,"admin2Pcod","SO1402"
"pev_score_2_cat","population_group","in_need","IDP",0.937462775461584,NA,0.835456386924418,1.03946916399875,"admin2Pcod","SO1403"
"pev_score_2_cat","population_group","not_in_need","IDP",0.0625372245384157,NA,-0.0394691639987502,0.164543613075582,"admin2Pcod","SO1403"
"pev_score_2_cat","population_group","in_need","not_displaced",0.624530506635506,NA,0.596659111581346,0.652401901689666,"admin2Pcod","SO1403"
"pev_score_2_cat","population_group","not_in_need","not_displaced",0.375469493364494,NA,0.347598098310334,0.403340888418654,"admin2Pcod","SO1403"
"pev_score_2_cat","population_group","in_need","IDP",0.827278615387068,NA,0.698015885279112,0.956541345495024,"admin2Pcod","SO1404"
"pev_score_2_cat","population_group","not_in_need","IDP",0.172721384612932,NA,0.0434586545049755,0.301984114720887,"admin2Pcod","SO1404"
"pev_score_2_cat","population_group","in_need","not_displaced",0.291399211926203,NA,0.262091776960036,0.32070664689237,"admin2Pcod","SO1404"
"pev_score_2_cat","population_group","not_in_need","not_displaced",0.708600788073797,NA,0.67929335310763,0.737908223039964,"admin2Pcod","SO1404"
"pev_score_2_cat","population_group","in_need","IDP",0.530966561818888,NA,0.294101584350079,0.767831539287696,"admin2Pcod","SO1201"
"pev_score_2_cat","population_group","not_in_need","IDP",0.469033438181112,NA,0.232168460712304,0.705898415649921,"admin2Pcod","SO1201"
"pev_score_2_cat","population_group","in_need","not_displaced",0.138935960793135,NA,0.0359163394408247,0.241955582145445,"admin2Pcod","SO1201"
"pev_score_2_cat","population_group","not_in_need","not_displaced",0.861064039206865,NA,0.758044417854555,0.964083660559175,"admin2Pcod","SO1201"
"pev_score_2_cat","population_group","in_need","IDP",0.6,NA,0.288068296940315,0.911931703059685,"admin2Pcod","SO1101"
"pev_score_2_cat","population_group","not_in_need","IDP",0.4,NA,0.0880682969403149,0.711931703059685,"admin2Pcod","SO1101"
"pev_score_2_cat","population_group","in_need","not_displaced",0.13516673684992,NA,0.0857178787037293,0.184615594996111,"admin2Pcod","SO1101"
"pev_score_2_cat","population_group","not_in_need","not_displaced",0.86483326315008,NA,0.815384405003889,0.914282121296271,"admin2Pcod","SO1101"
