"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"88","pev_score","idp_settlement","1","yes",0.00632911392405063,NA,0,0.0187032034335584,"region","awdal"
"89","pev_score","idp_settlement","4","no",0.0106382978723404,NA,0.00216557257130612,0.0191110231733747,"region","awdal"
"90","pev_score","idp_settlement","4","yes",0.0506329113924051,NA,0.0164228345230271,0.084842988261783,"region","awdal"
"91","pev_score","idp_settlement","3","no",0.783231083844581,NA,0.74668501969511,0.819777147994051,"region","gedo"
"92","pev_score","idp_settlement","3","yes",0.740088105726872,NA,0.682993715085243,0.797182496368501,"region","gedo"
"93","pev_score","idp_settlement","4","no",0.0265848670756646,NA,0.0123168557598249,0.0408528783915044,"region","gedo"
"94","pev_score","idp_settlement","4","yes",0.167400881057269,NA,0.118800967603156,0.216000794511382,"region","gedo"
"95","pev_score","idp_settlement","2","no",0.190184049079755,NA,0.155376186169833,0.224991911989676,"region","gedo"
"96","pev_score","idp_settlement","2","yes",0.092511013215859,NA,0.0547923708012363,0.130229655630482,"region","gedo"
"97","pev_score","idp_settlement","3","no",0.803030303030303,NA,0.735084785988119,0.870975820072487,"region","lower_juba"
"98","pev_score","idp_settlement","3","yes",0.843601895734597,NA,0.794519541423651,0.892684250045543,"region","lower_juba"
"99","pev_score","idp_settlement","2","no",0.143939393939394,NA,0.0839689555719551,0.203909832306833,"region","lower_juba"
"100","pev_score","idp_settlement","2","yes",0.0710900473933649,NA,0.0363658608800012,0.105814233906729,"region","lower_juba"
"101","pev_score","idp_settlement","4","no",0.053030303030303,NA,0.0147456048448182,0.0913150012157879,"region","lower_juba"
"102","pev_score","idp_settlement","4","yes",0.0853080568720379,NA,0.0475618494480177,0.123054264296058,"region","lower_juba"
"103","pev_score","idp_settlement","2","no",0.246445497630332,NA,0.188246494440987,0.304644500819677,"region","galgaduud"
"104","pev_score","idp_settlement","2","yes",0.133333333333333,NA,0.0974308191334122,0.169235847533254,"region","galgaduud"
"105","pev_score","idp_settlement","3","no",0.616113744075829,NA,0.550434295504478,0.681793192647181,"region","galgaduud"
